Class,Palabra,Mutual Information,Repeticiones,Valor
0,skip,0.999972256,881,880.9755572
0,torrent,0.999972256,304,303.9915657
0,mylust,0.999972256,272,271.9924535
0,i2,0.999972256,266,265.99262
0,tinnhanh360,0.999972256,216,215.9940072
0,emgn,0.999972256,201,200.9944234
0,gtm,0.999972256,197,196.9945344
0,nypost,0.999972256,188,187.9947841
0,gpt,0.999972256,185,184.9948673
0,kakaku,0.999972256,185,184.9948673
0,plarium,0.999972256,182,181.9949505
0,pornsharing,0.999972256,181,180.9949783
0,pricedown,0.999972256,173,172.9952002
0,tunein,0.999972256,173,172.9952002
0,header_text,0.999972256,173,172.9952002
0,1.54293E+15,0.999972256,168,167.9953389
0,15480783,0.999972256,168,167.9953389
0,nesn,0.999972256,164,163.9954499
0,nguyentandung,0.999972256,162,161.9955054
0,thenextweb,0.999972256,161,160.9955332
0,full_screen_preview,0.999972256,155,154.9956996
0,motthegioi,0.999972256,145,144.9959771
0,cua,0.999972256,143,142.9960326
0,techcrunch,0.999972256,143,142.9960326
0,elitedaily,0.999972256,141,140.996088
0,akamaiedge,0.999972256,137,136.996199
0,censor,0.999972256,133,132.99631
0,correios,0.999972256,130,129.9963932
0,jezebel,0.999972256,129,128.996421
0,kenh14,0.999972256,129,128.996421
0,chn,0.999972256,127,126.9964765
0,d8,0.999972256,124,123.9965597
0,author,0.999972256,123,122.9965874
0,d9,0.999972256,122,121.9966152
0,fna,0.999972256,120,119.9966707
0,courier,0.999972256,110,109.9969481
0,x264,0.999972256,109,108.9969759
0,hubpages,0.999972256,109,108.9969759
0,sortby,0.999972256,103,102.9971423
0,baidu,0.999972256,103,102.9971423
0,va,0.999972256,102,101.9971701
0,xhamster,0.999972256,100,99.99722556
0,bdnews24,0.999972256,98,97.99728105
0,ringring,0.999972256,97,96.99730879
0,askubuntu,0.999972256,96,95.99733654
0,people,0.999972256,95,94.99736428
0,xvideo,0.999972256,95,94.99736428
0,themeforest,0.999972256,93,92.99741977
0,searchengineland,0.999972256,93,92.99741977
0,1337x,0.999972256,93,92.99741977
0,interval,0.999972256,90,89.997503
0,why,0.999972256,90,89.997503
0,d0b6dd74a8394345128e20d296cb1c5e,0.999972256,90,89.997503
0,show_item,0.999972256,90,89.997503
0,sh_dwh_token,0.999972256,90,89.997503
0,viet,0.999972256,90,89.997503
0,allrecipes,0.999972256,88,87.99755849
0,qz,0.999972256,88,87.99755849
0,layer,0.999972256,88,87.99755849
0,elb,0.999972256,88,87.99755849
0,msedge,0.999972256,87,86.99758624
0,8b,0.999972256,87,86.99758624
0,doubleverify,0.999972256,86,85.99761398
0,putlocker,0.999972256,84,83.99766947
0,hollywoodlife,0.999972256,84,83.99766947
0,nguoi,0.999972256,84,83.99766947
0,superuser,0.999972256,84,83.99766947
0,a9,0.999972256,83,82.99769721
0,diply,0.999972256,83,82.99769721
0,stackoverflow,0.999972256,83,82.99769721
0,pikabu,0.999972256,82,81.99772496
0,thechive,0.999972256,81,80.9977527
0,dsp,0.999972256,81,80.9977527
0,katproxy,0.999972256,81,80.9977527
0,government,0.999972256,79,78.99780819
0,zdn,0.999972256,79,78.99780819
0,seekingalpha,0.999972256,77,76.99786368
0,tu,0.999972256,77,76.99786368
0,scontent,0.999972256,77,76.99786368
0,io9,0.999972256,77,76.99786368
0,digg,0.999972256,76,75.99789143
0,nhung,0.999972256,76,75.99789143
0,kickass,0.999972256,76,75.99789143
0,grantland,0.999972256,76,75.99789143
0,nhan,0.999972256,75,74.99791917
0,akamai,0.999972256,74,73.99794691
0,trong,0.999972256,74,73.99794691
0,slashdot,0.999972256,72,71.9980024
0,stormfall,0.999972256,72,71.9980024
0,story,0.999972256,72,71.9980024
0,quoc,0.999972256,72,71.9980024
0,stock,0.999972256,72,71.9980024
0,osobowe,0.999972256,69,68.99808564
0,jalopnik,0.999972256,69,68.99808564
0,bo_table,0.999972256,69,68.99808564
0,recipe,0.999972256,68,67.99811338
0,r3,0.999972256,68,67.99811338
0,torrent_download,0.999972256,68,67.99811338
0,ecnavi,0.999972256,68,67.99811338
0,kotaku,0.999972256,68,67.99811338
0,user_id,0.999972256,67,66.99814113
0,r4,0.999972256,67,66.99814113
0,talk,0.999972256,67,66.99814113
0,hoc,0.999972256,67,66.99814113
0,r5,0.999972256,65,64.99819661
0,station,0.999972256,63,62.9982521
0,these,0.999972256,63,62.9982521
0,edgekey,0.999972256,62,61.99827985
0,trafficmanager,0.999972256,62,61.99827985
0,kaden,0.999972256,62,61.99827985
0,thanh,0.999972256,61,60.99830759
0,sparta,0.999972256,61,60.99830759
0,anh,0.999972256,60,59.99833534
0,miui,0.999972256,60,59.99833534
0,criteo,0.999972256,60,59.99833534
0,skype,0.999972256,60,59.99833534
0,dai,0.999972256,60,59.99833534
0,pull,0.999972256,58,57.99839082
0,tuneinsearch,0.999972256,58,57.99839082
0,hdtv,0.999972256,58,57.99839082
0,empires,0.999972256,58,57.99839082
0,into,0.999972256,56,55.99844631
0,smallseotools,0.999972256,56,55.99844631
